BARRIO,Hora_0,Hora_1,Hora_2,Hora_3,Hora_4,Hora_5,Hora_6,Hora_7,Hora_8,Hora_9,Hora_10,Hora_11,Hora_12,Hora_13,Hora_14,Hora_15,Hora_16,Hora_17,Hora_18,Hora_19,Hora_20,Hora_21,Hora_22,Hora_23
FacultadVeterinariayZootecniaUdeA,0.0,3.0,2.0,3.0,2.0,5.0,11.0,22.0,14.0,16.0,8.0,12.0,19.0,11.0,6.0,15.0,14.0,16.0,9.0,5.0,6.0,6.0,1.0,0.0
FacultaddeMinasUNacional,9.0,9.0,15.0,12.0,16.0,45.0,95.0,90.0,56.0,31.0,54.0,32.0,53.0,47.0,34.0,39.0,62.0,60.0,56.0,38.0,32.0,29.0,15.0,9.0
Fatima,5.0,12.0,26.0,11.0,12.0,15.0,43.0,80.0,42.0,51.0,46.0,46.0,75.0,46.0,51.0,56.0,61.0,60.0,49.0,34.0,34.0,20.0,19.0,9.0
Ferrini,1.0,4.0,1.0,2.0,0.0,3.0,16.0,25.0,6.0,11.0,7.0,14.0,14.0,11.0,16.0,12.0,16.0,11.0,8.0,16.0,8.0,6.0,4.0,0.0
Florencia,5.0,3.0,7.0,8.0,3.0,9.0,12.0,20.0,12.0,11.0,13.0,21.0,16.0,16.0,14.0,12.0,14.0,16.0,11.0,19.0,13.0,14.0,15.0,8.0
FloridaNueva,9.0,10.0,11.0,10.0,10.0,21.0,34.0,44.0,37.0,38.0,39.0,37.0,42.0,39.0,45.0,43.0,29.0,32.0,26.0,25.0,17.0,16.0,16.0,13.0
FranciscoAntonioZea,3.0,9.0,4.0,5.0,8.0,17.0,47.0,48.0,28.0,15.0,20.0,24.0,28.0,26.0,16.0,29.0,20.0,26.0,33.0,30.0,21.0,14.0,20.0,6.0
FuenteClara,1.0,1.0,0.0,0.0,1.0,1.0,10.0,1.0,2.0,2.0,3.0,4.0,7.0,1.0,3.0,6.0,3.0,8.0,5.0,3.0,2.0,2.0,2.0,1.0
Gerona,5.0,2.0,5.0,8.0,9.0,12.0,18.0,17.0,18.0,17.0,17.0,18.0,23.0,17.0,23.0,17.0,17.0,22.0,22.0,22.0,18.0,25.0,6.0,5.0
Girardot,8.0,11.0,13.0,8.0,12.0,37.0,76.0,64.0,49.0,35.0,34.0,47.0,46.0,53.0,41.0,41.0,31.0,38.0,50.0,38.0,44.0,40.0,33.0,19.0
Granada,2.0,3.0,3.0,4.0,10.0,8.0,25.0,37.0,25.0,20.0,27.0,23.0,23.0,26.0,26.0,15.0,21.0,18.0,20.0,12.0,15.0,7.0,8.0,4.0
Granizal,2.0,6.0,7.0,3.0,8.0,9.0,9.0,15.0,11.0,15.0,15.0,14.0,21.0,8.0,16.0,13.0,13.0,21.0,14.0,17.0,17.0,10.0,7.0,7.0
Guayabal,8.0,27.0,31.0,26.0,33.0,90.0,139.0,155.0,119.0,101.0,102.0,116.0,125.0,127.0,123.0,110.0,98.0,144.0,113.0,50.0,48.0,48.0,29.0,17.0
Guayaquil,11.0,36.0,57.0,56.0,47.0,105.0,178.0,216.0,171.0,162.0,202.0,192.0,243.0,174.0,165.0,188.0,193.0,179.0,173.0,94.0,52.0,38.0,29.0,17.0
HectorAbadGomez,9.0,9.0,3.0,3.0,17.0,46.0,63.0,55.0,50.0,34.0,35.0,41.0,24.0,29.0,36.0,36.0,31.0,27.0,37.0,32.0,24.0,25.0,22.0,4.0
HospitalSanVicentedePaul,0.0,3.0,1.0,3.0,2.0,2.0,4.0,8.0,4.0,9.0,9.0,5.0,5.0,2.0,5.0,7.0,9.0,7.0,4.0,5.0,1.0,1.0,4.0,1.0
Inst,1.0,3.0,2.0,3.0,1.0,4.0,8.0,7.0,7.0,10.0,6.0,9.0,4.0,3.0,8.0,11.0,8.0,8.0,17.0,6.0,3.0,6.0,2.0,1.0
JardinBotanico,0.0,7.0,5.0,1.0,2.0,5.0,12.0,13.0,9.0,2.0,7.0,9.0,11.0,3.0,7.0,12.0,10.0,18.0,12.0,2.0,2.0,9.0,4.0,3.0
JesusNazareno,10.0,31.0,28.0,27.0,28.0,60.0,72.0,126.0,90.0,98.0,79.0,110.0,105.0,93.0,93.0,108.0,99.0,104.0,78.0,58.0,41.0,39.0,22.0,18.0
JuanPabloII,1.0,0.0,1.0,3.0,0.0,1.0,0.0,3.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,4.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0
JuanXXIIILaQuiebra,0.0,0.0,2.0,4.0,3.0,4.0,6.0,8.0,6.0,8.0,7.0,8.0,12.0,6.0,5.0,8.0,6.0,10.0,12.0,4.0,5.0,10.0,2.0,2.0
Kennedy,11.0,16.0,16.0,9.0,12.0,26.0,42.0,44.0,35.0,24.0,26.0,36.0,34.0,40.0,38.0,33.0,40.0,43.0,52.0,44.0,41.0,29.0,27.0,17.0
LaAguacatala,7.0,13.0,26.0,16.0,31.0,37.0,77.0,113.0,75.0,87.0,77.0,82.0,113.0,77.0,88.0,99.0,102.0,100.0,87.0,76.0,56.0,40.0,30.0,9.0
LaAlpujarra,3.0,12.0,14.0,11.0,15.0,30.0,43.0,60.0,42.0,45.0,44.0,58.0,65.0,51.0,46.0,37.0,56.0,63.0,55.0,37.0,12.0,14.0,13.0,3.0
LaAmerica,9.0,11.0,20.0,4.0,19.0,31.0,57.0,70.0,59.0,54.0,49.0,51.0,51.0,63.0,39.0,66.0,41.0,49.0,38.0,40.0,34.0,30.0,15.0,8.0
LaAvanzada,2.0,4.0,1.0,1.0,2.0,1.0,5.0,4.0,2.0,4.0,4.0,2.0,4.0,5.0,4.0,6.0,3.0,5.0,2.0,7.0,5.0,2.0,1.0,2.0
LaCandelaria,23.0,62.0,59.0,63.0,64.0,105.0,192.0,248.0,241.0,207.0,271.0,292.0,307.0,213.0,239.0,266.0,271.0,281.0,233.0,164.0,120.0,106.0,51.0,34.0
LaCastellana,3.0,15.0,14.0,8.0,11.0,17.0,46.0,46.0,30.0,23.0,28.0,27.0,42.0,51.0,32.0,32.0,24.0,43.0,31.0,38.0,20.0,12.0,9.0,3.0
LaColina,6.0,5.0,4.0,13.0,4.0,13.0,33.0,31.0,23.0,16.0,20.0,26.0,15.0,22.0,22.0,18.0,22.0,21.0,30.0,21.0,30.0,13.0,17.0,8.0
LaCruz,1.0,0.0,1.0,1.0,0.0,2.0,5.0,3.0,4.0,2.0,4.0,3.0,4.0,6.0,4.0,5.0,4.0,6.0,7.0,9.0,10.0,0.0,2.0,0.0
LaEsperanza,11.0,12.0,8.0,7.0,6.0,18.0,35.0,32.0,30.0,33.0,21.0,22.0,19.0,37.0,26.0,20.0,25.0,32.0,32.0,32.0,32.0,34.0,21.0,9.0
LaEsperanzaNo2,1.0,4.0,3.0,1.0,1.0,4.0,2.0,1.0,4.0,4.0,7.0,5.0,7.0,2.0,3.0,6.0,2.0,6.0,4.0,8.0,5.0,0.0,8.0,2.0
LaFloresta,5.0,9.0,12.0,3.0,9.0,15.0,42.0,37.0,29.0,26.0,31.0,34.0,33.0,31.0,24.0,31.0,25.0,40.0,36.0,37.0,30.0,24.0,16.0,10.0
LaFlorida,7.0,12.0,6.0,15.0,16.0,8.0,17.0,38.0,39.0,35.0,45.0,44.0,51.0,44.0,41.0,52.0,45.0,45.0,24.0,30.0,18.0,20.0,8.0,5.0
LaFrancia,1.0,6.0,3.0,6.0,12.0,6.0,16.0,13.0,7.0,10.0,7.0,9.0,11.0,11.0,12.0,7.0,13.0,13.0,15.0,12.0,6.0,8.0,5.0,2.0
LaFrontera,0.0,5.0,3.0,1.0,3.0,10.0,15.0,13.0,11.0,10.0,10.0,10.0,10.0,13.0,5.0,12.0,8.0,10.0,8.0,8.0,12.0,8.0,7.0,1.0
LaGloria,10.0,18.0,16.0,14.0,15.0,36.0,59.0,60.0,48.0,36.0,44.0,31.0,39.0,36.0,34.0,40.0,41.0,45.0,45.0,37.0,35.0,21.0,17.0,6.0
LaHondonada,1.0,1.0,1.0,2.0,3.0,3.0,8.0,9.0,6.0,12.0,2.0,11.0,9.0,8.0,6.0,5.0,8.0,7.0,6.0,4.0,4.0,8.0,3.0,2.0
LaIsla,2.0,4.0,3.0,4.0,3.0,4.0,8.0,9.0,5.0,4.0,6.0,11.0,12.0,10.0,6.0,8.0,3.0,6.0,3.0,12.0,12.0,6.0,9.0,5.0
LaLadera,3.0,3.0,2.0,0.0,2.0,1.0,4.0,3.0,3.0,1.0,6.0,3.0,4.0,2.0,5.0,1.0,3.0,2.0,4.0,4.0,1.0,3.0,2.0,1.0
LaLibertad,4.0,4.0,0.0,3.0,4.0,17.0,13.0,15.0,9.0,10.0,16.0,25.0,14.0,18.0,7.0,10.0,14.0,16.0,5.0,16.0,17.0,10.0,7.0,4.0
LaLomaOriental,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
LaLomadeLosBernal,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0
LaMansion,1.0,5.0,4.0,5.0,1.0,11.0,18.0,11.0,9.0,11.0,6.0,10.0,12.0,12.0,8.0,9.0,14.0,15.0,20.0,23.0,14.0,6.0,5.0,4.0
LaMilagrosa,2.0,6.0,8.0,9.0,9.0,14.0,25.0,20.0,13.0,23.0,16.0,15.0,26.0,19.0,13.0,16.0,19.0,23.0,24.0,32.0,27.0,25.0,9.0,8.0
LaMota,1.0,4.0,6.0,3.0,3.0,11.0,29.0,26.0,16.0,18.0,18.0,18.0,21.0,10.0,20.0,12.0,14.0,14.0,14.0,20.0,14.0,14.0,9.0,7.0
LaOculta,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
LaPalma,5.0,8.0,6.0,11.0,12.0,23.0,32.0,33.0,28.0,24.0,19.0,35.0,30.0,23.0,31.0,28.0,30.0,30.0,27.0,29.0,24.0,22.0,12.0,10.0
LaPilarica,2.0,6.0,12.0,1.0,5.0,12.0,21.0,26.0,20.0,19.0,18.0,15.0,19.0,11.0,23.0,12.0,22.0,24.0,23.0,16.0,18.0,15.0,4.0,5.0
LaPiñuela,5.0,8.0,5.0,5.0,5.0,8.0,10.0,12.0,16.0,20.0,13.0,12.0,17.0,12.0,10.0,13.0,12.0,14.0,14.0,9.0,20.0,12.0,8.0,8.0
LaPradera,2.0,5.0,6.0,3.0,5.0,9.0,24.0,21.0,14.0,15.0,12.0,15.0,14.0,23.0,22.0,23.0,19.0,16.0,17.0,15.0,18.0,14.0,14.0,6.0
LaRosa,3.0,5.0,5.0,1.0,3.0,5.0,12.0,8.0,11.0,7.0,10.0,9.0,6.0,9.0,4.0,7.0,15.0,8.0,10.0,12.0,9.0,9.0,5.0,5.0
LaSalle,7.0,6.0,9.0,9.0,10.0,18.0,29.0,35.0,18.0,21.0,24.0,20.0,16.0,24.0,22.0,16.0,28.0,26.0,31.0,24.0,27.0,21.0,9.0,6.0
LaSierra,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
LaVerde,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,3.0,2.0,0.0,0.0,3.0,1.0,3.0,0.0,1.0,2.0,2.0,1.0,1.0
Lalinde,0.0,2.0,0.0,2.0,4.0,5.0,2.0,7.0,7.0,11.0,7.0,3.0,16.0,10.0,10.0,4.0,8.0,7.0,4.0,3.0,0.0,5.0,1.0,6.0
LasAcacias,15.0,21.0,25.0,27.0,26.0,36.0,58.0,79.0,64.0,59.0,64.0,68.0,90.0,75.0,74.0,69.0,89.0,83.0,52.0,62.0,50.0,43.0,22.0,11.0
LasBrisas,3.0,16.0,8.0,9.0,17.0,32.0,77.0,81.0,50.0,49.0,43.0,43.0,40.0,35.0,34.0,33.0,31.0,42.0,33.0,32.0,36.0,37.0,23.0,11.0
LasEsmeraldas,3.0,14.0,4.0,9.0,9.0,9.0,18.0,22.0,18.0,20.0,13.0,25.0,19.0,17.0,13.0,14.0,16.0,23.0,19.0,20.0,11.0,17.0,6.0,8.0
LasEstancias,5.0,6.0,2.0,4.0,7.0,5.0,14.0,10.0,4.0,11.0,11.0,7.0,14.0,8.0,16.0,18.0,10.0,8.0,10.0,11.0,10.0,12.0,4.0,2.0
LasGranjas,15.0,20.0,23.0,33.0,25.0,34.0,40.0,40.0,47.0,29.0,44.0,41.0,42.0,45.0,42.0,39.0,42.0,66.0,44.0,58.0,65.0,46.0,33.0,22.0
LasIndependencias,0.0,2.0,0.0,0.0,0.0,2.0,2.0,4.0,2.0,1.0,3.0,2.0,9.0,4.0,1.0,2.0,2.0,6.0,2.0,4.0,4.0,4.0,3.0,2.0
LasLomasNo1,3.0,8.0,10.0,6.0,2.0,15.0,16.0,22.0,28.0,22.0,29.0,23.0,33.0,18.0,25.0,30.0,20.0,32.0,26.0,22.0,9.0,14.0,6.0,5.0
LasLomasNo2,1.0,1.0,3.0,4.0,1.0,2.0,16.0,13.0,15.0,11.0,18.0,17.0,15.0,21.0,14.0,17.0,16.0,13.0,4.0,6.0,9.0,5.0,5.0,0.0
LasMercedes,5.0,8.0,4.0,4.0,4.0,8.0,12.0,13.0,11.0,16.0,13.0,11.0,15.0,21.0,14.0,15.0,15.0,15.0,18.0,12.0,24.0,11.0,8.0,5.0
LasPalmas,8.0,12.0,9.0,5.0,10.0,17.0,27.0,40.0,23.0,22.0,23.0,22.0,22.0,26.0,27.0,20.0,21.0,29.0,25.0,21.0,17.0,17.0,15.0,8.0
LasPlayas,5.0,3.0,8.0,3.0,5.0,20.0,27.0,21.0,28.0,20.0,24.0,24.0,33.0,21.0,31.0,25.0,22.0,24.0,22.0,28.0,25.0,25.0,7.0,6.0
LasVioletas,7.0,6.0,2.0,6.0,2.0,12.0,9.0,26.0,17.0,12.0,13.0,15.0,17.0,19.0,15.0,22.0,17.0,14.0,17.0,21.0,15.0,17.0,8.0,5.0
Laureles,12.0,26.0,28.0,22.0,15.0,31.0,56.0,66.0,62.0,64.0,75.0,71.0,79.0,83.0,84.0,70.0,92.0,72.0,56.0,59.0,49.0,30.0,26.0,11.0
LaurelesEstadio,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Llanaditas,0.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,2.0,1.0,2.0,5.0,6.0,0.0,0.0,2.0,3.0,4.0,7.0,2.0,6.0,1.0,2.0,0.0
LomadelosBernal,3.0,6.0,3.0,8.0,1.0,7.0,23.0,21.0,18.0,15.0,17.0,28.0,19.0,18.0,13.0,26.0,9.0,17.0,16.0,15.0,17.0,16.0,8.0,5.0
LopezdeMesa,9.0,11.0,10.0,12.0,9.0,33.0,61.0,63.0,47.0,34.0,42.0,30.0,34.0,42.0,27.0,25.0,43.0,23.0,44.0,41.0,43.0,23.0,21.0,7.0
Lorena,2.0,17.0,6.0,12.0,13.0,26.0,34.0,45.0,33.0,42.0,47.0,54.0,48.0,40.0,48.0,49.0,52.0,55.0,38.0,36.0,29.0,14.0,17.0,4.0
Loreto,8.0,12.0,5.0,7.0,8.0,13.0,27.0,35.0,28.0,20.0,36.0,22.0,42.0,25.0,24.0,25.0,32.0,34.0,31.0,37.0,27.0,27.0,15.0,19.0
LosAlcazares,3.0,8.0,1.0,5.0,5.0,11.0,14.0,24.0,19.0,14.0,12.0,25.0,23.0,36.0,25.0,23.0,25.0,18.0,18.0,25.0,14.0,11.0,10.0,5.0
LosAlpes,3.0,7.0,5.0,3.0,4.0,16.0,16.0,20.0,17.0,17.0,17.0,8.0,24.0,15.0,21.0,26.0,11.0,19.0,20.0,25.0,21.0,16.0,12.0,13.0
LosBalsosNo1,2.0,4.0,3.0,8.0,7.0,6.0,13.0,25.0,17.0,14.0,6.0,17.0,10.0,9.0,15.0,14.0,25.0,27.0,17.0,11.0,13.0,17.0,9.0,4.0
LosBalsosNo2,3.0,5.0,5.0,14.0,9.0,12.0,23.0,18.0,20.0,23.0,30.0,43.0,37.0,48.0,49.0,50.0,44.0,57.0,34.0,47.0,21.0,10.0,15.0,2.0
LosCerrosElVergel,4.0,4.0,2.0,5.0,4.0,5.0,11.0,10.0,9.0,6.0,10.0,11.0,14.0,12.0,12.0,9.0,8.0,9.0,10.0,4.0,16.0,11.0,5.0,5.0
LosColores,9.0,18.0,19.0,20.0,15.0,54.0,107.0,92.0,85.0,71.0,63.0,83.0,94.0,70.0,85.0,95.0,80.0,97.0,80.0,85.0,75.0,60.0,35.0,18.0
LosConquistadores,16.0,61.0,56.0,55.0,66.0,120.0,186.0,216.0,156.0,130.0,171.0,179.0,196.0,174.0,175.0,187.0,171.0,195.0,154.0,124.0,99.0,85.0,50.0,30.0
LosMangos,7.0,9.0,12.0,3.0,3.0,19.0,26.0,21.0,18.0,22.0,27.0,20.0,28.0,23.0,25.0,21.0,21.0,20.0,17.0,20.0,21.0,15.0,8.0,10.0
LosNaranjos,1.0,5.0,5.0,4.0,4.0,8.0,14.0,22.0,17.0,28.0,21.0,20.0,32.0,22.0,22.0,17.0,20.0,33.0,18.0,21.0,12.0,9.0,10.0,1.0
LosPinos,13.0,20.0,14.0,16.0,13.0,30.0,50.0,55.0,46.0,61.0,66.0,51.0,58.0,48.0,57.0,43.0,53.0,46.0,51.0,49.0,46.0,31.0,19.0,9.0
LosÁngeles,7.0,11.0,15.0,14.0,24.0,28.0,89.0,65.0,58.0,39.0,57.0,51.0,53.0,53.0,60.0,40.0,51.0,68.0,53.0,36.0,35.0,28.0,20.0,9.0
Manila,4.0,25.0,33.0,18.0,24.0,39.0,61.0,83.0,73.0,83.0,95.0,91.0,130.0,69.0,80.0,85.0,85.0,108.0,97.0,52.0,30.0,29.0,24.0,16.0
Manrique,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
ManriqueCentralNo1,12.0,18.0,15.0,12.0,16.0,30.0,86.0,68.0,40.0,43.0,38.0,39.0,56.0,48.0,39.0,40.0,42.0,60.0,53.0,50.0,40.0,31.0,19.0,19.0
ManriqueCentralNo2,7.0,7.0,20.0,16.0,16.0,25.0,33.0,32.0,23.0,18.0,28.0,34.0,30.0,23.0,22.0,23.0,30.0,25.0,35.0,39.0,32.0,24.0,18.0,9.0
ManriqueOriental,4.0,16.0,17.0,10.0,21.0,33.0,56.0,42.0,41.0,20.0,36.0,26.0,35.0,25.0,21.0,33.0,41.0,32.0,47.0,46.0,42.0,34.0,26.0,12.0
MariaCanoCarambolas,1.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,4.0,2.0,0.0,8.0,3.0,2.0,1.0,3.0,5.0,6.0,4.0,4.0,3.0,1.0,2.0,1.0
MediaLuna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Metropolitano,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,2.0,2.0,1.0,4.0,0.0,1.0,0.0,4.0,0.0,4.0,0.0,3.0,3.0,1.0,0.0
MiradordelDoce,2.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,0.0,4.0,0.0,0.0,1.0,1.0,3.0,1.0,4.0,2.0,1.0,1.0,1.0
Miraflores,11.0,8.0,8.0,4.0,15.0,12.0,39.0,41.0,23.0,22.0,29.0,23.0,24.0,31.0,28.0,18.0,16.0,26.0,24.0,23.0,32.0,23.0,24.0,13.0
Miranda,11.0,19.0,23.0,17.0,14.0,30.0,68.0,59.0,44.0,45.0,37.0,43.0,46.0,46.0,45.0,42.0,39.0,46.0,52.0,50.0,38.0,34.0,18.0,13.0
Miravalle,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,3.0,5.0,4.0,6.0,6.0,1.0,6.0,6.0,4.0,5.0,2.0,4.0,3.0,4.0,0.0,0.0
Monteclaro,0.0,0.0,0.0,0.0,1.0,3.0,3.0,8.0,3.0,6.0,4.0,4.0,7.0,3.0,5.0,3.0,2.0,4.0,5.0,7.0,2.0,2.0,3.0,0.0
Moravia,5.0,20.0,22.0,11.0,10.0,43.0,63.0,71.0,64.0,40.0,66.0,57.0,65.0,58.0,53.0,52.0,54.0,81.0,77.0,61.0,47.0,47.0,21.0,11.0
MoscuNo1,2.0,5.0,4.0,4.0,6.0,11.0,13.0,15.0,15.0,11.0,13.0,15.0,20.0,14.0,6.0,13.0,17.0,13.0,18.0,15.0,14.0,9.0,9.0,10.0
MoscuNo2,3.0,9.0,4.0,6.0,7.0,9.0,19.0,12.0,17.0,15.0,7.0,15.0,15.0,14.0,7.0,11.0,16.0,14.0,24.0,11.0,15.0,11.0,3.0,0.0
Naranjal,11.0,38.0,39.0,43.0,42.0,93.0,144.0,150.0,118.0,125.0,132.0,139.0,155.0,128.0,118.0,125.0,119.0,134.0,111.0,85.0,76.0,49.0,31.0,14.0
NuevaVilladeAburra,2.0,1.0,3.0,1.0,2.0,3.0,5.0,14.0,9.0,3.0,4.0,10.0,8.0,8.0,3.0,12.0,12.0,10.0,3.0,9.0,5.0,12.0,2.0,1.0
NuevaVilladeLaIguana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NuevaVilladelaIguana,2.0,5.0,4.0,1.0,3.0,6.0,21.0,22.0,26.0,17.0,23.0,22.0,29.0,18.0,17.0,16.0,16.0,19.0,16.0,16.0,10.0,14.0,12.0,3.0
